实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
"INSPUR GROUP CO., LTD.",组织,US-NS-CMIC,制裁,别名: Inspur Group,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30949,us_ofac_cons,2026-06-19
OPEN JOINT STOCK COMPANY CHAYKA,组织,US-SSI,制裁,别名: CHAIKA OJSC; PJSC CHAIKA; OAO CHAIKA,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20008,us_ofac_cons,2026-06-19
"GAZPROM KAPITAL, OOO",组织,US-SSI,制裁,别名: GAZPROM KAPITAL; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM KAPITAL',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19675,us_ofac_cons,2026-06-19
"TRANSNEFT-OKHRANA, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'TRANSNEFT-OKHRANA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22397,us_ofac_cons,2026-06-19
BYLINNYE BOGATYRI LIMITED LIABILITY COMPANY,组织,US-SSI,制裁,"别名: LLC BYLINNYE BOGATYRI; BYLINNYE BOGATYRI, OOO",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18747,us_ofac_cons,2026-06-19
JOINT STOCK COMPANY SBERBANK AUTOMATED TRADE SYSTEM,组织,US-SSI,制裁,别名: SBERBANK-AST ZAO; Sberbank-AST JSC; SBERBANK-AUTOMATED TRADING SYSTEM CLOSED JOINT STOCK COMPANY,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18743,us_ofac_cons,2026-06-19
IZHORSKIYE ZAVODY OAO,组织,US-SSI,制裁,别名: OPEN JOINT STOCK COMPANY IZHORSKIE ZAVODY,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20305,us_ofac_cons,2026-06-19
"GAZPROM INVEST, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM INVEST'; Limited Liability Company Gazprom Invest; GAZPROM INVEST,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19640,us_ofac_cons,2026-06-19
"Aviation Industry Corporation of China, Ltd",组织,US-NS-CMIC,制裁,别名: AVIATION INDUSTRY OF CHINA; AVIATION INDUSTRY CORP OF CHINA,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30925,us_ofac_cons,2026-06-19
LLC BALTECH,组织,US-SSI,制裁,别名: Limited Liability Corporation Baltech; OOO Baltekh; OOO BALTECH,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19992,us_ofac_cons,2026-06-19
China Nuclear Engineering Corporation Limited,组织,US-NS-CMIC,制裁,别名: China National Engineering & Construction Corporation Limited; China Nuclear Engineering & Construction Corp Ltd,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30958,us_ofac_cons,2026-06-19
"CHINA AEROSPACE TIMES ELECTRONICS CO., LTD",组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32085,us_ofac_cons,2026-06-19
Riyad Ali AMLI,个人,US-NS-PLC,制裁,别名: Riyad Ali Mustafa AMLI,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9680,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ NIZHNI NOVGOROD, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ NIZHNI NOVGOROD'; GAZPROM TRANSGAZ NIZHNY NOVGOROD,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19649,us_ofac_cons,2026-06-19
"BM-DIREKTSIYA, OOO",组织,US-SSI,制裁,别名: OOO 'BM-DIREKTSIYA'; LIMITED LIABILITY COMPANY 'BM-DIREKTSIYA'; BM DIREKTSIYA LLC,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20007,us_ofac_cons,2026-06-19
ООО Газпром ВНИИГАЗ,组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'NAUCHNO-ISSLEDOVATELSKI INSTITUT PRIRODNYKH GAZOV I GAZOVYKH TEKHNOLOGI - GAZPROM VNIIGAZ'; GAZPROM VNIIGAZ; Научно-исследовательский институт природных газов и газовых технологий - Газпром ВНИИГАЗ,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19653,us_ofac_cons,2026-06-19
