实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
Mychajlo Volodymyrovytj RAZVOZJAJEV,个人,EU-UKR,制裁,别名: Mychajlo Volodymyrovytj RAZVOZJAJEV; Mykhailo Volodymyrovich RAZVOZHAEV; Michail Vladimirovitj RAZVOZJAJEV,ru,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=1765,eu_sanctions,2026-06-19
Sergei Patrovich MIKHAILOV,个人,EU-UKR,制裁,别名: Sergej Petrovitj MICHAJLOV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4410,eu_sanctions,2026-06-19
Alexander Vlademirovich DVOINYKH,个人,EU-UKR,制裁,别名: Aleksandr Vladimirovitj DVOJNYCH,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4352,eu_sanctions,2026-06-19
Владислав Валерьевич ШАПША,个人,EU-UKR,制裁,别名: Владислав Валерьевич ШАПША,ru,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R2476,eu_sanctions,2026-06-19
Aleksandr Georgijevitj MAZJUGA,个人,EU-UKR,制裁,别名: Aleksandr Georgijevitj MAZJUGA,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R1529,eu_sanctions,2026-06-19
Gennady Ivanovich ORDENOV,个人,EU-UKR,制裁,别名: Gennadij Ivanovitj ORDENOV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4440,eu_sanctions,2026-06-19
Andrei Anatolyevich SHEVCHENKO,个人,EU-UKR,制裁,别名: Andrej Anatoljevitj SJEVTJENKO,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R1529,eu_sanctions,2026-06-19
Ирина Валерьевна РУКАВИШНИКОВА,个人,EU-UKR,制裁,别名: Irina Valerjevna RUKAVISJNIKOVA,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4456,eu_sanctions,2026-06-19
Anatolij Ivanovitj SJIROKOV,个人,EU-UKR,制裁,别名: Anatolij Ivanovitj SJIROKOV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4415,eu_sanctions,2026-06-19
Дмитрий Геннадьевич КУЗЬМИН,个人,EU-UKR,制裁,别名: Дмитрий Геннадьевич КУЗЬМИН; Dmitrij Gennadjevitj KUZMIN,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202400849,eu_sanctions,2026-06-19
Alexei Vladimirovich SINITSYN,个人,EU-UKR,制裁,别名: Aleksej Vladimirovitj SINITSYN,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4439,eu_sanctions,2026-06-19
Aleksandr Davydovitj BASJKIN,个人,EU-UKR,制裁,别名: Александр Давыдович БАШКИН,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ%3AL_202500527&qid=1742218670627,eu_sanctions,2026-06-19
Igor Sergeievich SHEVCHENKO,个人,EU-UKR,制裁,,ua,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN,eu_sanctions,2026-06-19
Valeriy Stepanovich SKRUG,个人,EU-UKR,制裁,别名: Valerij Stepanovitj SKRUG,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R1529,eu_sanctions,2026-06-19
Oleg Vladimirovich BEREZA,个人,EU-UKR,制裁,别名: Oleg Vladimirovitj BERJOZA,ru; md,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=1569,eu_sanctions,2026-06-19
Aleksandr Aleksejevitj POLJAKOV,个人,EU-UKR,制裁,别名: Aleksandr Aleksejevitj POLJAKOV,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2022.053.01.0001.01.ENG&toc=OJ%3AL%3A2022%3A053%3ATOC,eu_sanctions,2026-06-19
Юрий Викторович АРХАРОВ,个人,EU-UKR,制裁,别名: Jurij Viktorovitj ARCHAROV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4470,eu_sanctions,2026-06-19
Jelena Aleksejevna PERMINOVA,个人,EU-UKR,制裁,别名: Jelena Aleksejevna PERMINOVA; Елена Алексеевна ПЕРМИНОВА,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202400849,eu_sanctions,2026-06-19
